Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,PCE,Light,V_f,J_f,V_r,J_r,Acq Soak Voltage,Acq Soak Time,Acq Hold Time,Acq Step Voltage,Acq Rev Voltage,Acq Forw Voltage,Architecture,Direction,Num Track Devices,Delay Before Meas,Track Time,Hold Track Time,Device Area,Operator,Comments
22,2018-11-14,19-37-35,0.0,1.0367423113553818,-16.60731624177735,0.7599999989999995,-10.42816784952658,0.6056723305856455,10.428167849526583,1.0,-0.200000001,-17.420888888888886,1.0999999989999993,10.7548547008547,1.0,0.0,0.0,0.02,-0.2,1.1,0.0,0.0,1.0,1.0,30,0.2,0.117,,
,2018-11-14,19-37-35,0.0,1.0447213348361166,-16.97788033919957,0.8199999989999995,-10.937005798627993,0.6166156033476504,10.937005798627993,1.0,-0.18000000100000002,-17.298461538461538,1.0799999989999993,6.740620512820513,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.16000000100000003,-17.246854700854698,1.0599999989999993,3.085642735042735,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.14000000100000004,-17.192589743589743,1.0399999989999993,0.3980053846153846,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.12000000100000005,-17.133119658119657,1.0199999989999993,-2.0454786324786323,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.10000000100000006,-17.117299145299146,0.9999999989999993,-4.145005128205128,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.08000000100000007,-17.115606837606837,0.9799999989999995,-5.731794871794872,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.06000000100000008,-17.087188034188035,0.9599999989999994,-7.100950427350428,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.04000000100000009,-16.958017094017094,0.9399999989999994,-8.22202735042735,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0200000010000001,-16.997606837606835,0.9199999989999994,-9.277623931623932,,,,,,,,,,,,,,,
,,,,,,,,,,,-1.0000001104959466e-09,-16.97788034188034,0.8999999989999994,-10.105316239316238,,,,,,,,,,,,,,,
,,,,,,,,,,,0.01999999899999988,-16.924264957264956,0.8799999989999994,-10.765290598290598,,,,,,,,,,,,,,,
,,,,,,,,,,,0.03999999899999987,-16.876991452991454,0.8599999989999993,-11.44894017094017,,,,,,,,,,,,,,,
,,,,,,,,,,,0.05999999899999989,-16.89974358974359,0.8399999989999996,-11.998427350427349,,,,,,,,,,,,,,,
,,,,,,,,,,,0.07999999899999985,-16.797179487179484,0.8199999989999995,-12.456008547008546,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09999999899999981,-16.85011111111111,0.7999999989999995,-12.995213675213675,,,,,,,,,,,,,,,
,,,,,,,,,,,0.11999999899999983,-16.718760683760685,0.7799999989999995,-13.296444444444445,,,,,,,,,,,,,,,
,,,,,,,,,,,0.13999999899999985,-16.751094017094015,0.7599999989999995,-13.721273504273503,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1599999989999998,-16.69960683760684,0.7399999989999995,-14.01934188034188,,,,,,,,,,,,,,,
,,,,,,,,,,,0.17999999899999977,-16.679940170940167,0.7199999989999994,-14.340649572649571,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1999999989999998,-16.554017094017095,0.6999999989999995,-14.530435897435897,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2199999989999998,-16.618837606837605,0.6799999989999995,-14.759358974358973,,,,,,,,,,,,,,,
,,,,,,,,,,,0.23999999899999977,-16.524948717948718,0.6599999989999995,-15.067,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2599999989999997,-16.51391452991453,0.6399999989999996,-15.141205128205128,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2799999989999997,-16.457974358974358,0.6199999989999996,-15.331341880341878,,,,,,,,,,,,,,,
,,,,,,,,,,,0.29999999899999974,-16.414683760683758,0.5999999989999996,-15.398931623931622,,,,,,,,,,,,,,,
,,,,,,,,,,,0.31999999899999976,-16.349564102564102,0.5799999989999995,-15.579495726495725,,,,,,,,,,,,,,,
,,,,,,,,,,,0.33999999899999966,-16.334803418803418,0.5599999989999995,-15.661991452991451,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3599999989999997,-16.19334188034188,0.5399999989999996,-15.771290598290598,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3799999989999997,-16.225025641025642,0.5199999989999996,-15.813418803418802,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3999999989999996,-16.139384615384614,0.4999999989999996,-15.841153846153846,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4199999989999996,-16.110034188034188,0.4799999989999997,-15.964837606837605,,,,,,,,,,,,,,,
,,,,,,,,,,,0.43999999899999964,-15.949410256410255,0.45999999899999966,-16.109299145299147,,,,,,,,,,,,,,,
,,,,,,,,,,,0.45999999899999966,-15.942982905982905,0.43999999899999964,-16.067350427350426,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4799999989999997,-15.857,0.4199999989999996,-16.039410256410257,,,,,,,,,,,,,,,
