Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,PCE,Light,V_r,J_r,V_f,J_f,Acq Soak Voltage,Acq Soak Time,Acq Hold Time,Acq Step Voltage,Acq Rev Voltage,Acq Forw Voltage,Architecture,Direction,Num Track Devices,Delay Before Meas,Track Time,Operator,Comments
c6,10/4/17,14-55-03,5.435000181,0,0,1.440051219,2.073898403,0,0,1,-1.000000001,1.67E-10,0.999999999,1.68E-10,1,2,1,0.5,-1,1,1,0,2,0.1,1,,
,10/4/17,14-55-01,3.261999846,0,0,1.200023199,1.440216242,0,0,1,-0.500000001,1.68E-10,0.499999999,1.64E-10,,,,,,,,,,,,,
,,,,,,,,,,,-1.00E-09,1.70E-10,-1.00E-09,1.69E-10,,,,,,,,,,,,,
,,,,,,,,,,,0.499999999,1.69E-10,-0.500000001,1.66E-10,,,,,,,,,,,,,
,,,,,,,,,,,0.999999999,1.67E-10,-1.000000001,1.68E-10,,,,,,,,,,,,,
