Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,PCE,Light,V_f,J_f,V_r,J_r,Acq Soak Voltage,Acq Soak Time,Acq Hold Time,Acq Step Voltage,Acq Rev Voltage,Acq Forw Voltage,Architecture,Direction,Num Track Devices,Delay Before Meas,Track Time,Hold Track Time,Device Area,Operator,Comments
26,2018-11-14,19-38-30,0.0,0.9358354525985189,-16.96323075742436,0.6199999989999996,-5.948635033140466,0.3747220598743313,5.948635033140466,1.0,-0.200000001,-20.302034188034185,1.0999999989999993,42.633273504273504,1.0,0.0,0.0,0.02,-0.2,1.1,0.0,0.0,1.0,1.0,30,0.2,0.117,,
,2018-11-14,19-38-30,0.0,0.7786591529170338,-16.815803398802135,0.43999999899999964,-4.043765460895091,0.3088310402843673,4.043765460895091,1.0,-0.18000000100000002,-19.6005811965812,1.0799999989999993,36.73194017094017,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.16000000100000003,-19.368931623931623,1.0599999989999993,33.08497435897436,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.14000000100000004,-18.95895726495726,1.0399999989999993,27.83279487179487,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.12000000100000005,-18.638068376068375,1.0199999989999993,24.578350427350426,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.10000000100000006,-18.254811965811964,0.9999999989999993,6.217218803418803,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.08000000100000007,-18.052358974358977,0.9799999989999995,3.243622222222222,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.06000000100000008,-17.615128205128205,0.9599999989999994,1.373376923076923,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.04000000100000009,-17.438786324786324,0.9399999989999994,0.2360423076923077,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.0200000010000001,-17.017324786324785,0.9199999989999994,-0.8975376068376067,,,,,,,,,,,,,,,
,,,,,,,,,,,-1.0000001104959466e-09,-16.81580341880342,0.8999999989999994,-2.3187256410256407,,,,,,,,,,,,,,,
,,,,,,,,,,,0.01999999899999988,-16.415777777777777,0.8799999989999994,-3.075277777777777,,,,,,,,,,,,,,,
,,,,,,,,,,,0.03999999899999987,-16.23742735042735,0.8599999989999993,-3.689202564102564,,,,,,,,,,,,,,,
,,,,,,,,,,,0.05999999899999989,-15.791461538461537,0.8399999989999996,-4.505490598290598,,,,,,,,,,,,,,,
,,,,,,,,,,,0.07999999899999985,-15.596495726495725,0.8199999989999995,-4.796391452991452,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09999999899999981,-15.248188034188033,0.7999999989999995,-5.1522461538461535,,,,,,,,,,,,,,,
,,,,,,,,,,,0.11999999899999983,-14.999341880341879,0.7799999989999995,-5.7415145299145305,,,,,,,,,,,,,,,
,,,,,,,,,,,0.13999999899999985,-14.680940170940168,0.7599999989999995,-6.159723076923076,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1599999989999998,-14.341709401709402,0.7399999989999995,-7.112776068376068,,,,,,,,,,,,,,,
,,,,,,,,,,,0.17999999899999977,-14.073367521367521,0.7199999989999994,-7.657974358974359,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1999999989999998,-13.658273504273504,0.6999999989999995,-7.936446153846153,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2199999989999998,-13.37434188034188,0.6799999989999995,-8.550273504273504,,,,,,,,,,,,,,,
,,,,,,,,,,,0.23999999899999977,-13.024299145299144,0.6599999989999995,-8.661743589743589,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2599999989999997,-12.666811965811965,0.6399999989999996,-8.97488888888889,,,,,,,,,,,,,,,
,,,,,,,,,,,0.2799999989999997,-12.250538461538461,0.6199999989999996,-9.59457264957265,,,,,,,,,,,,,,,
,,,,,,,,,,,0.29999999899999974,-11.92045299145299,0.5999999989999996,-9.791811965811966,,,,,,,,,,,,,,,
,,,,,,,,,,,0.31999999899999976,-11.487564102564104,0.5799999989999995,-10.156675213675213,,,,,,,,,,,,,,,
,,,,,,,,,,,0.33999999899999966,-11.157478632478632,0.5599999989999995,-10.60413675213675,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3599999989999997,-10.818700854700854,0.5399999989999996,-10.79319658119658,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3799999989999997,-10.437641025641025,0.5199999989999996,-11.148512820512822,,,,,,,,,,,,,,,
,,,,,,,,,,,0.3999999989999996,-9.990034188034189,0.4999999989999996,-11.52476923076923,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4199999989999996,-9.608982905982904,0.4799999989999997,-11.838034188034188,,,,,,,,,,,,,,,
,,,,,,,,,,,0.43999999899999964,-9.190376068376068,0.45999999899999966,-12.128811965811964,,,,,,,,,,,,,,,
,,,,,,,,,,,0.45999999899999966,-8.73242735042735,0.43999999899999964,-12.411153846153844,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4799999989999997,-8.401400854700855,0.4199999989999996,-12.726179487179486,,,,,,,,,,,,,,,
,,,,,,,,,,,0.4999999989999996,-7.8772188034188035,0.3999999989999996,-12.84425641025641,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5199999989999996,-7.317505982905983,0.3799999989999997,-13.152017094017095,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5399999989999996,-6.8863042735042725,0.3599999989999997,-13.361649572649572,,,,,,,,,,,,,,,
,,,,,,,,,,,0.5599999989999995,-6.4338367521367505,0.33999999899999966,-13.675111111111113,,,,,,,,,,,,,,,
