Device,Acq Date,Acq Time,Time step,Voc,Jsc,VPP,MPP,FF,PCE,Light,V_r,J_r,V_f,J_f,Acq Soak Voltage,Acq Soak Time,Acq Hold Time,Acq Step Voltage,Acq Rev Voltage,Acq Forw Voltage,Architecture,Direction,Num Track Devices,Delay Before Meas,Track Time,Hold Track Time,Device Area,Operator,Comments
Ctrl11,2018-03-02,15-59-10,0.0,0.9633289204107252,-3.0846881478324297,0.7999999990000015,-2.176145182465008,0.7323218678027037,2.176145182465008,1.0,-1.000000001,-3.0705859259259256,1.399999999000002,90.40125925925925,0.0,5.0,0.01,0.05,-1.0,1.4,0.0,0.0,0.0,0.0,0,0,0.135,,
,2018-03-02,15-59-10,0.0,0.918227088038741,-2.6314281441900773,0.6999999990000014,-0.7078125175073591,0.2929386143694827,0.7078125175073592,1.0,-0.950000001,-3.0764614814814815,1.3499999990000022,81.72807407407406,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.900000001,-3.0531725925925923,1.299999999000002,63.99436296296296,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.850000001,-3.0468503703703704,1.2499999990000017,51.61022222222221,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.8000000009999999,-3.0574637037037036,1.1999999990000019,37.32905925925926,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.7500000009999999,-3.062331111111111,1.149999999000002,24.248177777777776,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.7000000009999998,-3.038,1.0999999990000018,13.718925925925925,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.6500000009999998,-3.061838518518518,1.0499999990000015,5.670134814814815,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.6000000009999997,-3.058059259259259,0.9999999990000017,1.6647844444444444,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5500000009999997,-3.0601955555555556,0.9499999990000016,-0.605103037037037,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.5000000009999996,-3.049543703703703,0.8999999990000016,-1.7139481481481478,,,,,,,,,,,,,,,
